#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
HIV-1_SL4            RF01382   3cgs_B               -          cm       11       20       13        4      -    5'    2 0.60   0.0    8.2       5.5 ?   HIV-1 stem-loop 4 packaging signal
Hrs10                         RF02632   5jea_R               -          cm        1       26       26        1      -    3'    3 0.46   0.0   10.6       1.2 ?   Hfq-regulated sRNA 10
Hrs1                          RF02628   5jea_R               -          cm        1       28       22        1      -    3'    3 0.55   0.0   12.0       1.4 ?   Hfq-regulated sRNA 1
rnk_pseudo                    RF01772   5jea_R               -          cm       77      108        1       26      +    5'    2 0.46   0.0   13.4       1.4 ?   Pseudomonas rnk leader
JA04                          RF02732   5jea_R               -          cm       46       81        1       33      +    5'    2 0.36   0.2   15.7       1.7 ?   Aggregatibacter sRNA JA04
L10_leader                    RF00557   5jea_R               -          cm       58      138        1       29      +    5'    2 0.41   0.0   12.1       1.8 ?   Ribosomal protein L10 leader
DUF3800-I                     RF02969   5jea_R               -          cm       87      115        1       29      +    5'    2 0.41   0.0   14.1       1.9 ?   DUF3800-I RNA
SpF41_sRNA                    RF02435   5jea_R               -          cm       81      105        1       25      +    5'    2 0.48   0.0   14.2         2 ?   Streptococcus sRNA SpF41
Trp_leader                    RF00513   5jea_R               -          cm       76      100        1       23      +    5'    2 0.52   0.0   11.6       2.2 ?   Tryptophan operon leader
rsmX                          RF02144   5jea_R               -          cm       88      108       21        1      -    3'    4 0.57   0.0   10.3       2.2 ?   rsmX
ctRNA_pGA1                    RF00236   5jea_R               -          cm       50       79        1       30      +    5'    2 0.40   0.0   10.8       2.4 ?   ctRNA
TCV_H4                        RF02416   5jea_R               -          cm        1       47       26        1      -    3'    3 0.46   0.0   13.2       2.5 ?   Turnip crinkle virus 3'UTR
AaHKsRNA20                    RF02898   5jea_R               -          cm       50       77        1       28      +    5'    2 0.43   0.0   14.8       2.7 ?   Aggregatibacter sRNA 20
RNAI                          RF00106   5jea_R               -          cm       79      102        1       24      +    5'    2 0.50   0.0   10.4       3.3 ?   RNAI
GadY                          RF00122   5jea_R               -          cm       87      114        1       28      +    5'    2 0.43   0.0   10.3       3.4 ?   GadY
OmrA-B                        RF00079   5jea_R               -          cm       64       87        1       24      +    5'    2 0.50   0.0   10.8       3.6 ?   OmrA-B family
CRISPR-DR63                   RF01376   5jea_R               -          cm        4       31       28        1      -    3'    4 0.43   0.0   13.4       3.7 ?   CRISPR RNA direct repeat element
Spy779816                     RF02589   5jea_R               -          cm       11       88        1       34      +    5'    2 0.35   0.4   12.4       4.7 ?   S. pyogenes small RNA 779816
ar14                          RF02344   5jea_R               -          cm      102      123        1       22      +    5'    2 0.55   0.0    8.2       5.1 ?   Alphaproteobacterial ar14
STnc100                       RF02076   5jea_R               -          cm      179      206        1       28      +    5'    2 0.43   0.0    7.3       5.3 ?   Gammaproteobacterial sRNA STnc100
PyrG_leader                   RF02371   5jea_R               -          cm       41       78        1       26      +    5'    2 0.46   0.0   12.9       8.1 ?   PyrG leader
tRNA                 RF00005   2tra_A               -          cm        1       71        1       72      +    no    1 0.57   0.0   56.3   2.2e-12 !   tRNA
mascRNA-menRNA       RF01684   2tra_A               -          cm       33       49       48       64      +    no    1 0.65   0.0   16.5       0.2 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
beta_tmRNA           RF01850   2tra_A               -          cm       86      102       48       64      +    no    4 0.65   0.0    5.4       3.2 ?   Betaproteobacteria transfer-messenger RNA
cyano_tmRNA          RF01851   2tra_A               -          cm       62       78       48       64      +    no    3 0.65   0.0    6.3       3.7 ?   Cyanobacteria transfer-messenger RNA
hvt-mir-H16          RF03233   2tra_A               -          cm        3       64       73       37      -    5'    2 0.68   0.0   12.3         4 ?   hvt-mir-H16 microRNA precursor family
tRNA-Sec             RF01852   2tra_A               -          cm        2       91        1       72      +    5'    2 0.57   0.0   11.4       5.3 ?   Selenocysteine transfer RNA
Tymo_tRNA-like       RF00233   2tra_A               -          cm        1       84        7       75      +    no    1 0.57   0.0    8.2       9.1 ?   Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
tRNA                 RF00005   1ls2_B               -          cm        1       71        1       73      +    no    1 0.53   0.0   67.7   1.6e-15 !   tRNA
PreQ1-III            RF02680   1ls2_B               -          cm        1       59       60        1      -    3'    3 0.55   0.0   12.1       1.4 ?   PreQ1-III (pre queuosine) riboswitch aptamer
SpF51_sRNA                    RF02438   5ms0_R               -          cm       25       45       29       10      -    5'    2 0.50   0.0   14.2      0.53 ?   Streptococcus sRNA SpF51
CbSR3                         RF02563   5ms0_R               -          cm      140      164       29        5      -    5'    4 0.40   0.0    7.1       4.2 ?   Coxiella burnetii sRNA 3
Betaproteobacteria_toxic_sRNA RF02278   5ms0_R               -          cm       35       64       29        7      -    5'    2 0.43   0.0    8.1       7.1 ?   Betaproteobacteria toxic small RNA
Trp_leader_2                  RF02370   5ms0_R               -          cm      126      147       29        8      -    5'    2 0.45   0.0   10.4       9.7 ?   Bacillus tryptophan operon leader
tRNA                 RF00005   8uri_B               -          cm        1       71        1       73      +    no    1 0.67   0.0   63.8   1.9e-14 !   tRNA
tRNA-Sec             RF01852   8uri_B               -          cm        1       91        2       71      +    no    1 0.69   0.0   25.1    0.0015 !   Selenocysteine transfer RNA
Bp1_738              RF02422   8uri_B               -          cm       58      136        1       76      + 5'&3'    4 0.67   0.0   15.3      0.12 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
tmRNA                RF00023   8uri_B               -          cm      311      364       14       66      +    5'    4 0.62   0.0    6.3      0.32 ?   transfer-messenger RNA
beta_tmRNA           RF01850   8uri_B               -          cm       82      113       45       76      +    3'    4 0.66   0.0    5.6       2.8 ?   Betaproteobacteria transfer-messenger RNA
mir-769              RF03214   8uri_B               -          cm        1       53       62       13      -    3'    3 0.60   0.0   11.0         9 ?   mir-769 microRNA precursor family
tRNA                 RF00005   8uri_A               -          cm        1       71        1       73      +    no    1 0.67   0.0   63.8   1.9e-14 !   tRNA
tRNA-Sec             RF01852   8uri_A               -          cm        1       91        2       71      +    no    1 0.69   0.0   25.1    0.0015 !   Selenocysteine transfer RNA
Bp1_738              RF02422   8uri_A               -          cm       58      136        1       76      + 5'&3'    4 0.67   0.0   15.3      0.12 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
tmRNA                RF00023   8uri_A               -          cm      311      364       14       66      +    5'    4 0.62   0.0    6.3      0.32 ?   transfer-messenger RNA
beta_tmRNA           RF01850   8uri_A               -          cm       82      113       45       76      +    3'    4 0.66   0.0    5.6       2.8 ?   Betaproteobacteria transfer-messenger RNA
mir-769              RF03214   8uri_A               -          cm        1       53       62       13      -    3'    3 0.60   0.0   11.0         9 ?   mir-769 microRNA precursor family
SSU_rRNA_bacteria      RF00177   8uri_D               -          cm        1     1533        1     1542      +    no    1 0.54  14.2 1577.5         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   8uri_D               -          cm        1     1478        6     1540      +    no    1 0.55  15.0 1025.8         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   8uri_D               -          cm        1     1311        6     1537      +    no    1 0.55  15.6  727.4  4.5e-223 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   8uri_D               -          cm        1     1831        6     1537      +    no    1 0.55  15.6  694.3  5.2e-209 !   Eukaryotic small subunit ribosomal RNA
Betaproteobacteria-1   RF02932   8uri_D               -          cm        1      120      677      758      +    no    1 0.60   0.0   13.9       9.4 ?   Betaproteobacteria-1 RNA
LSU_rRNA_bacteria    RF02541   8uri_a               -          cm        1     2925        1     2904      +    no    1 0.53  44.6 2878.5         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   8uri_a               -          cm        1     2987        1     2903      +    no    1 0.53  44.9 1863.0         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   8uri_a               -          cm        1     3401      160     2893      +    no    1 0.54  43.9 1270.5         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   8uri_a               -          cm        1      154       13      166      +    no    1 0.49   0.0   38.0   1.7e-07 !   5.8S ribosomal RNA
sR14                 RF01145   8uri_a               -         hmm       15       43     1505     1532      +     -    6 0.57   0.0   16.4     0.082 ?   Small nucleolar RNA sR14
5S_rRNA              RF00001   8uri_d               -          cm        1      120        3      118      +    no    1 0.66   0.0   92.8   1.8e-21 !   5S ribosomal RNA
DUF805b              RF02914   8uri_d               -          cm        1       35       94      108      +    no    1 0.53   0.0    9.3       3.4 ?   DUF805b RNA
AS-pc02              RF02876   8uri_d               -          cm      140      185        1       44      +    5'    2 0.75   0.0    8.5       3.8 ?   Antisense to pHK01_099
HIV-1_DIS            RF00175   2oij_B               -          cm        9       31        1       23      +    no    1 0.65   0.0   27.4   0.00028 !   Human immunodeficiency virus type 1 dimerisation initiation site
HIV-1_DIS            RF00175   2oij_A               -          cm        9       31        1       23      +    no    1 0.65   0.0   27.4   0.00028 !   Human immunodeficiency virus type 1 dimerisation initiation site
LSU_rRNA_bacteria    RF02541   6wu9_A               -          cm        1     2925        1     2908      +    no    1 0.51  41.2 2946.7         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   6wu9_A               -          cm        1     2987        2     2908      +    no    1 0.51  41.4 1968.9         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   6wu9_A               -          cm        1     3401      160     2900      +    no    1 0.51  38.8 1255.0         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   6wu9_A               -          cm        1      154       11      161      +    no    1 0.47   0.0   47.0   4.6e-10 !   5.8S ribosomal RNA
MIR8024              RF03567   6wu9_A               -          cm        1       86      258      353      +    no    1 0.46   0.0   19.0       3.3 ?   MIR8024 microRNA precursor family
sn3060               RF01153   6wu9_A               -          cm        1       67     1781     1843      +    no    1 0.44   0.0   16.6       7.2 ?   Small nucleolar RNA sn3060
5S_rRNA              RF00001   6wu9_B               -          cm        1      120        1      116      +    no    1 0.53   0.0  100.3   1.8e-23 !   5S ribosomal RNA
DUF805b              RF02914   6wu9_B               -          cm        1       35       80      106      +    no    1 0.48   0.0    9.7       2.4 ?   DUF805b RNA
CRISPR-DR34          RF01344   6qcx_M               -          cm       26       36        3       13      +    5'    2 0.18   0.0   10.7       3.6 ?   CRISPR RNA direct repeat element
U5                   RF00020   5z56_B               -          cm        1      117        1      116      +    no    1 0.41   0.0  113.2   2.4e-22 !   U5 spliceosomal RNA
SmY                  RF01844   5z56_B               -          cm        1       80       36      117      +    no    1 0.44   0.0   17.7     0.042 ?   SmY spliceosomal RNA
U6                   RF00026   5z56_F               -          cm        1      105        1      107      +    no    1 0.46   0.0  118.8     3e-33 !   U6 spliceosomal RNA
U6atac               RF00619   5z56_F               -          cm        1      126       28      107      +    no    1 0.44   0.0   13.6      0.11 ?   U6atac minor spliceosomal RNA
veev_FSE             RF01841   5z56_F               -          cm        1       71       44        7      -    no    1 0.42   0.0   13.4         2 ?   venezuelan equine encephalitis virus ribosomal frameshift element
ceN114               RF01618   5z56_F               -          cm        1       63       65       82      +    no    1 0.61   0.0   13.2       3.4 ?   Nematode snoRNA ceN114
speF                 RF00518   5z56_F               -          cm       91      153      107       45      -    5'    2 0.46   0.0    6.7       7.1 ?   speF leader
SNORD42              RF00150   5z56_G               -          cm        1       68      226      172      -    no    1 0.42   0.0   21.5      0.36 ?   Small nucleolar RNA SNORD42
fstAT                RF01797   5z56_G               -          cm        1       94      168      246      +    no    1 0.48   0.0   19.4      0.37 ?   Fst antitoxin sRNA
MIR5286              RF03915   5z56_G               -          cm        1       78      222      203      -    no    1 0.30   0.2   14.8       2.3 ?   MIR5286 microRNA precursor family
U2                   RF00004   5z56_H               -          cm        1      189        1      188      +    3'    3 0.46   0.0  189.1   7.5e-43 !   U2 spliceosomal RNA
Gl_U2                RF02492   5z56_H               -          cm        1      135       34      188      +    3'    3 0.46   0.0   12.1       1.2 ?   Giardia U2 spliceosomal RNA
Glutamine            RF01739   9h8a_B               -          cm       23       53        1       32      +    5'    2 0.41   0.0   10.6       2.4 ?   Glutamine riboswitch aptamer (glnA leader)
sR52                 RF01306   9h8a_B               -          cm        1       25       12       36      +    3'    3 0.44   0.0    8.0       4.5 ?   Small nucleolar RNA sR52
osmY                 RF03036   9h8a_B               -          cm       58       72        1       15      +    5'    2 0.40   0.0    7.9       5.4 ?   osmY RNA
TMV_UPD-PK3          RF01072   9h8a_B               -          cm        1       31        7       18      +    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
Glutamine            RF01739   9h8a_F               -          cm       23       53        1       32      +    5'    2 0.41   0.0   10.6       2.4 ?   Glutamine riboswitch aptamer (glnA leader)
sR52                 RF01306   9h8a_F               -          cm        1       25       12       36      +    3'    3 0.44   0.0    8.0       4.5 ?   Small nucleolar RNA sR52
osmY                 RF03036   9h8a_F               -          cm       58       72        1       15      +    5'    2 0.40   0.0    7.9       5.4 ?   osmY RNA
TMV_UPD-PK3          RF01072   9h8a_F               -          cm        1       31        7       18      +    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
Glutamine            RF01739   9h8a_A               -          cm       23       53        1       32      +    5'    2 0.41   0.0   10.6       2.4 ?   Glutamine riboswitch aptamer (glnA leader)
sR52                 RF01306   9h8a_A               -          cm        1       25       12       36      +    3'    3 0.44   0.0    8.0       4.5 ?   Small nucleolar RNA sR52
osmY                 RF03036   9h8a_A               -          cm       58       72        1       15      +    5'    2 0.40   0.0    7.9       5.4 ?   osmY RNA
TMV_UPD-PK3          RF01072   9h8a_A               -          cm        1       31        7       18      +    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
Glutamine            RF01739   9h8a_E               -          cm       23       53        1       32      +    5'    2 0.41   0.0   10.6       2.4 ?   Glutamine riboswitch aptamer (glnA leader)
sR52                 RF01306   9h8a_E               -          cm        1       25       12       36      +    3'    3 0.44   0.0    8.0       4.5 ?   Small nucleolar RNA sR52
osmY                 RF03036   9h8a_E               -          cm       58       72        1       15      +    5'    2 0.40   0.0    7.9       5.4 ?   osmY RNA
TMV_UPD-PK3          RF01072   9h8a_E               -          cm        1       31        7       18      +    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
mir-9412             RF04266   9h8a_H               -          cm        1       42       36        1      -    3'    3 0.42   0.1   13.0       1.6 ?   mir-9412 microRNA precursor family
TMV_UPD-PK3          RF01072   9h8a_H               -          cm        1       31       14        3      -    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
mir-9412             RF04266   9h8a_D               -          cm        1       42       36        1      -    3'    3 0.42   0.1   13.0       1.6 ?   mir-9412 microRNA precursor family
TMV_UPD-PK3          RF01072   9h8a_D               -          cm        1       31       14        3      -    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
mir-9412             RF04266   9h8a_G               -          cm        1       42       36        1      -    3'    3 0.42   0.1   13.0       1.6 ?   mir-9412 microRNA precursor family
TMV_UPD-PK3          RF01072   9h8a_G               -          cm        1       31       14        3      -    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
mir-9412             RF04266   9h8a_C               -          cm        1       42       36        1      -    3'    3 0.42   0.1   13.0       1.6 ?   mir-9412 microRNA precursor family
TMV_UPD-PK3          RF01072   9h8a_C               -          cm        1       31       14        3      -    no    1 0.33   0.0    6.5       9.5 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
Guanidine-III        RF01763   5o62_B               -          cm       23       64        1       41      +    no    1 0.73   0.0   51.4   6.1e-11 !   Guanidine-III riboswitch aptamer (yKKC-III)
Guanidine-III        RF01763   5o62_A               -          cm       23       64        1       41      +    no    1 0.73   0.0   51.4   6.1e-11 !   Guanidine-III riboswitch aptamer (yKKC-III)
Guanidine-III        RF01763   5nz3_B               -          cm       23       64        1       41      +    no    1 0.73   0.0   51.4   6.1e-11 !   Guanidine-III riboswitch aptamer (yKKC-III)
Guanidine-III        RF01763   5nz3_A               -          cm       23       64        1       41      +    no    1 0.73   0.0   51.4   6.1e-11 !   Guanidine-III riboswitch aptamer (yKKC-III)
U4                   RF00015   6qw6_4               -          cm        1      138        2      142      +    no    1 0.47   0.0  129.8   5.4e-32 !   U4 spliceosomal RNA
U4atac               RF00618   6qw6_4               -          cm        1      132        3      131      +    no    1 0.47   0.0   25.7    0.0058 !   U4atac minor spliceosomal RNA
Ms_IGR-2             RF02467   6qw6_4               -          cm        1       82       31       69      +    no    1 0.38   0.0   12.8       1.2 ?   Mycobacterium sRNA Ms_IGR-2
narK                 RF03032   6qw6_4               -          cm        1       72       46       90      +    no    1 0.47   0.0   11.3         5 ?   narK RNA
U5                   RF00020   6qw6_4               -          cm        1      117       40      145      +    no    1 0.46   0.0   14.9       7.2 ?   U5 spliceosomal RNA
mir-1000             RF03299   6qw6_4               -          cm        1       72      112       91      -    no    1 0.50   0.0   11.5       9.2 ?   mir-1000 microRNA precursor family
U5                   RF00020   6qw6_5               -          cm        1      117        1      116      +    no    1 0.41   0.0  113.2   2.4e-22 !   U5 spliceosomal RNA
SmY                  RF01844   6qw6_5               -          cm        1       80       36      117      +    no    1 0.44   0.0   17.7     0.042 ?   SmY spliceosomal RNA
U6                   RF00026   6qw6_6               -          cm        1       84        1       86      +    no    3 0.48   0.0   93.7   9.7e-26 !   U6 spliceosomal RNA
veev_FSE             RF01841   6qw6_6               -          cm        1       71       44        7      -    no    1 0.42   0.0   13.4       1.6 ?   venezuelan equine encephalitis virus ribosomal frameshift element
U6atac               RF00619   6qw6_6               -          cm        1       61       28       88      +    3'    3 0.44   0.0    8.6       2.3 ?   U6atac minor spliceosomal RNA
LSU_rRNA_bacteria    RF02541   8y38_A               -          cm        1     2925        1     2921      +    no    1 0.50  31.3 2993.4         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   8y38_A               -          cm        1     2987        1     2921      +    no    1 0.50  31.3 1995.7         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   8y38_A               -          cm        1     3401      162     2910      +    no    1 0.50  28.5 1326.6         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   8y38_A               -          cm        1      154       11      165      +    no    1 0.46   0.0   46.0   8.6e-10 !   5.8S ribosomal RNA
5S_rRNA              RF00001   8y38_B               -          cm        1      120        1      115      +    no    1 0.51   0.0   88.3   2.5e-20 !   5S ribosomal RNA
SSU_rRNA_bacteria      RF00177   8y38_a               -          cm        1     1533        1     1548      +    no    1 0.51   2.5 1617.1         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   8y38_a               -          cm        1     1478        3     1547      +    no    1 0.51   2.7 1079.8         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   8y38_a               -          cm        1     1311        3     1544      +    no    1 0.51   3.2  759.8  3.8e-233 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   8y38_a               -          cm        1     1831        3     1544      +    no    1 0.51   3.2  752.1  1.1e-226 !   Eukaryotic small subunit ribosomal RNA
HOTAIRM1_3             RF01977   8y38_a               -         hmm       27       58      297      328      +     -    6 0.59   0.0   13.2      0.44 ?   HOX antisense intergenic RNA myeloid 1 conserved region 3
5_8S_rRNA              RF00002   8y38_a               -          cm       44       95      160      210      +    no    1 0.39   0.0   11.8         3 ?   5.8S ribosomal RNA
TLS-PK6                RF01101   8y38_a               -          cm        1       40      604      570      -    no    1 0.54   0.0   15.5       6.7 ?   Pseudoknot of tRNA-like structure
Intron_gpI           RF00028   7xsl_N               -          cm        1      253        6      312      +    no    1 0.46   0.0  122.5   1.1e-33 !   Group I catalytic intron
SNORD46              RF00218   7xsl_N               -          cm       29       98      192      123      -    no    1 0.50   0.0   16.5      0.68 ?   Small nucleolar RNA SNORD46
LSU_rRNA_archaea     RF02540   1m90_A               -          cm        1     2987        1     2922      +    no    1 0.56  49.2 2791.0         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   1m90_A               -          cm        1     2925        2     2920      +    no    1 0.56  50.0 1756.6         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   1m90_A               -          cm        1     3401      131     2914      +    no    1 0.56  47.4 1469.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   1m90_A               -          cm        1      154        9      144      +    no    1 0.55   0.0   50.0   6.1e-11 !   5.8S ribosomal RNA
CC0196               RF01519   1m90_A               -          cm        1       58      845      796      -    no    1 0.50   0.0   21.8     0.071 ?   Caulobacter sRNA CC0196
EAV_LTH              RF00498   1m90_A               -          cm        1       45     1403     1362      -    no    1 0.64   0.0   17.3       1.3 ?   Equine arteritis virus leader TRS hairpin (LTH)
asponA               RF02812   1m90_A               -          cm      207      257     1216     1262      +    no    1 0.55   0.0   10.6       4.8 ?   anti ponA RNA
5S_rRNA              RF00001   1m90_B               -          cm        1      120        1      121      +    no    1 0.66   0.0   84.5   2.8e-19 !   5S ribosomal RNA
ssNA-helicase        RF03070   6kup_V               -          cm       39       49        1       10      +    5'    2 0.50   0.0    8.9       2.9 ?   ssNA-helicase RNA
LSU_rRNA_eukarya     RF02543   7u0h_1               -          cm        1     3401        4     3396      +    no    1 0.48  29.5 3401.6         0 !   Eukaryotic large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   7u0h_1               -          cm      130     2987        1     3198      +    5'    2 0.48  25.4 1506.3         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   7u0h_1               -          cm      156     2925        1     3167      +    5'    2 0.48  24.3 1254.3         0 !   Bacterial large subunit ribosomal RNA
P10                  RF01668   7u0h_1               -          cm        1       72     1392     1330      -    no    1 0.56   0.0   19.8      0.16 ?   Pseudomonas sRNA P10
5_8S_rRNA            RF00002   7u0h_2               -          cm        1      154        2      155      +    no    1 0.47   0.0  175.4   3.2e-48 !   5.8S ribosomal RNA
LSU_rRNA_archaea     RF02540   7u0h_2               -          cm       27      171       15      146      +    3'    4 0.48   0.0    8.7      0.88 ?   Archaeal large subunit ribosomal RNA
astro_FSE            RF01833   7u0h_2               -          cm        1       26      137      112      -    no    1 0.65   0.0   10.1       2.8 ?   ribosomal frameshift site
snoU2_19             RF00494   7u0h_2               -          cm        1       80       32       88      +    no    1 0.44   0.0   15.3       5.3 ?   Small nucleolar RNA U2-19
mir-92_2             RF03554   7u0h_2               -          cm       15       70       62      117      +    no    1 0.43   0.0   13.0       7.3 ?   mir-92_2 microRNA precursor family
Gut-1                RF01706   7u0h_6               -          cm        1       77        5       61      +    no    1 0.37   0.0   11.9         4 ?   Gut-1 RNA
rpsL_pseudo          RF01773   7u0h_6               -          cm        1       93        4       87      +    3'    3 0.37   0.0    9.5       4.9 ?   Pseudomonas rpsL leader
Transposase-2        RF03015   8ex9_B               -          cm        1       69       96      149      +    no    1 0.54   0.0   14.2      0.88 ?   Transposase-2 RNA
SSU_trypano_mito     RF02545   7pua_CA              -          cm        1      623        4      621      +    no    1 0.17 208.7  475.4  1.3e-118 !   Trypanosomatid mitochondrial small subunit ribosomal RNA
Histone3             RF00032   7pua_CA              -          cm        1       46      537      579      +    no    1 0.26   0.0   14.8      0.66 ?   Histone 3' UTR stem-loop
tracrRNA             RF02348   6aeb_E               -          cm       21       87       36      100      +    3'    4 0.40   0.0   62.6   1.2e-10 !   Trans-activating crRNA
tracrRNA             RF02348   6aeb_E               -          cm       70       92       99       77      -    no    2 0.57   0.0   15.2       1.5 ?   Trans-activating crRNA
CRISPR-DR13          RF01326   6aeb_E               -          cm        1       30       45       79      +    no    1 0.31   0.0   14.8       3.9 ?   CRISPR RNA direct repeat element
tracrRNA             RF02348   6aeb_A               -          cm       21       87       36      100      +    3'    4 0.40   0.0   62.6   1.2e-10 !   Trans-activating crRNA
tracrRNA             RF02348   6aeb_A               -          cm       70       92       99       77      -    no    2 0.57   0.0   15.2       1.5 ?   Trans-activating crRNA
CRISPR-DR13          RF01326   6aeb_A               -          cm        1       30       45       79      +    no    1 0.31   0.0   14.8       3.9 ?   CRISPR RNA direct repeat element
LSU_rRNA_bacteria    RF02541   7paj_3               -          cm        1     2925        3     2907      +    no    1 0.46  57.1 2685.9         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   7paj_3               -          cm        1     2987        1     2907      +    no    1 0.45  57.3 1792.4         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   7paj_3               -          cm        1     3401      167     2896      +    no    1 0.46  51.2 1188.2         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   7paj_3               -          cm        1      154       15      169      +    no    1 0.45   0.0   34.3     2e-06 !   5.8S ribosomal RNA
ceN61                RF01647   7paj_3               -          cm        1       72     1007      947      -    no    1 0.41   0.0   17.2       3.3 ?   Caenorhabditis snoRNA ceN61
SBWMV2_UPD-PKk       RF01111   7paj_3               -          cm        1       21      310      333      +    no    1 0.38   0.0   17.9       5.2 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
LPR10                RF02824   7paj_3               -          cm        1       94     2116     2027      -    no    1 0.49   0.0   17.4       9.3 ?   Legionella RNA 10
5S_rRNA              RF00001   7paj_4               -          cm        1      120        1      108      +    no    1 0.50   0.0   73.7   1.8e-16 !   5S ribosomal RNA
SSU_rRNA_bacteria      RF00177   7paj_5               -          cm        1     1533        2     1517      +    no    1 0.46  10.7 1446.4         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   7paj_5               -          cm        1     1478        7     1515      +    no    1 0.46  11.2  948.1  1.8e-280 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   7paj_5               -          cm        1     1311        7     1512      +    no    1 0.46  12.0  722.8  1.2e-221 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   7paj_5               -          cm        1     1831        7     1512      +    no    1 0.46  12.0  722.0  1.8e-217 !   Eukaryotic small subunit ribosomal RNA
sR46                   RF01130   7paj_5               -          cm        1       56      271      323      +    no    1 0.47   0.0   16.3      0.67 ?   Small nucleolar RNA sR46
Spy1786666             RF02591   7paj_5               -          cm        1       87      134      219      +    no    1 0.40   0.0   18.6       1.6 ?   S. pyogenes small RNA 1786666
GadY                   RF00122   7paj_5               -          cm        1      114      220      292      +    no    1 0.52   0.0   15.9       4.4 ?   GadY
tRNA                 RF00005   7paj_7               -          cm        1       71        1       73      +    no    1 0.56   0.0   69.8   4.3e-16 !   tRNA
tRNA-Sec             RF01852   7paj_7               -          cm        1       91        1       72      +    no    1 0.57   0.0   25.6    0.0011 !   Selenocysteine transfer RNA
beta_tmRNA           RF01850   7paj_7               -          cm       85      113       48       76      +    3'    4 0.62   0.0   13.4    0.0062 !   Betaproteobacteria transfer-messenger RNA
cyano_tmRNA          RF01851   7paj_7               -          cm       59       89       46       76      +    3'    4 0.61   0.0    9.6      0.37 ?   Cyanobacteria transfer-messenger RNA
YrlA                 RF02553   7paj_7               -          cm       56      114        1       56      +    5'    2 0.55   0.0   12.5       2.5 ?   Y RNA-like
tRNA                 RF00005   7paj_8               -          cm        1       71        1       73      +    no    1 0.56   0.0   69.8   4.3e-16 !   tRNA
